# Generated by tools/starfield/build.py; do not edit by hand.
# Display-only data (CONVENTIONS 13.6). Provenance: docs/THIRD_PARTY.md,
# section "Star field and constellations".
# Constellation figures: this project's own drawing (MIT OR Apache-2.0),
# authored in tools/starfield/figures.txt by designation.
# abbr|name|label_ra_deg|label_dec_deg|segments as HR-HR pairs.
# Label positions are ICRS (J2000) directions.
Lep|Lepus|83.1100|-18.0962|1865-1829 1829-1654 1654-1702 1702-1865 1702-1705 1865-1998 1998-2085 1829-1983 1983-2035
Lib|Libra|230.0413|-20.6308|5531-5685 5685-5787 5787-5531 5531-5603 5787-5794 5794-5812
Lup|Lupus|230.0448|-43.1007|5649-5469 5469-5571 5571-5695 5695-5705 5695-5776 5776-5948 5571-5708 5708-5776
Lyn|Lynx|124.5956|+47.2474|3705-3690 3690-3579 3579-3275 3275-2818 2818-2560 2560-2238
Lyr|Lyra|282.1117|+36.5156|7001-7056 7056-7106 7106-7178 7178-7139 7139-7056 7001-7051
Men|Mensa|80.9209|-74.4596|2261-1953 1953-1629 1629-1677
Mic|Microscopium|315.9603|-36.6458|7943-7965 7965-8039 8039-8135 8135-8151
Mon|Monoceros|103.6056|-0.2378|2227-2356 2356-2714 2714-2970 2714-3188 2714-2506 2506-2385 2385-2456 2385-2298
Mus|Musca|187.2000|-69.3779|4520-4671 4671-4798 4798-4844 4844-4923 4923-4773 4773-4798
Nor|Norma|243.5282|-48.0544|5962-6072 6072-6115 6115-5980 5980-5962
Oct|Octans|314.4911|-83.5782|8254-8630 8630-5339 5339-8254
Oph|Ophiuchus|256.9692|-4.9881|6556-6299 6299-6149 6149-6056 6056-6075 6075-6175 6175-6378 6378-6698 6698-6629 6629-6603 6603-6556 6378-6445 6445-6453
Ori|Orion|81.9244|+5.4371|2061-1790 2061-1948 1948-2004 1790-1852 1852-1713 1852-1903 1903-1948 2061-1879 1879-1790 2061-2124 2124-2199 2199-2159 2159-2047 1790-1543 1570-1544 1544-1543 1543-1552 1552-1567 1567-1601
Pav|Pavo|295.6576|-66.4912|7790-7913 7913-8181 7913-7665 7665-7107 7107-6745 6745-6582 7665-7590
Peg|Pegasus|340.8213|+21.7070|8781-8775 8775-15 15-39 39-8781 8781-8634 8634-8450 8450-8308 8775-8650 8650-8454 8775-8684 8684-8667 8667-8430 8430-8315
Per|Perseus|51.1346|+45.5062|834-854 854-915 915-1017 1017-1122 1122-1135 1135-1220 1220-1228 1228-1203 1203-1131 1017-937 937-941 941-936 936-921 1122-1273 1273-1303 937-799 799-496
Phe|Phoenix|14.3860|-47.3251|25-99 99-322 322-429 429-440 440-338 338-322
Pic|Pictor|91.3462|-56.5737|2020-2042 2042-2550
Psc|Pisces|9.9848|+10.7227|8852-8911 8911-8984 8984-8969 8969-8916 8916-8878 8878-8852 8969-9072 9072-224 224-294 294-434 434-489 489-596 596-510 510-437 437-351 351-360 360-383 383-352
PsA|Piscis Austrinus|336.1328|-31.2741|8728-8628 8628-8386 8386-8326 8326-8305 8305-8431 8431-8576 8576-8695 8695-8720 8720-8728
Pup|Puppis|113.1181|-37.9246|3185-3045 3045-3017 3017-3165 3165-2878 2878-2553 2553-2451 2451-2773 2773-3017
Pyx|Pyxis|131.2227|-32.0737|3438-3468 3468-3518
Ret|Reticulum|61.0336|-62.0331|1336-1175 1175-1247 1247-1355 1355-1336
Sge|Sagitta|296.5976|+17.9290|7635-7536 7536-7479 7536-7488
Sgr|Sagittarius|280.0142|-27.7371|6746-6859 6859-6879 6879-6746 6859-6913 6913-7039 7039-6859 7039-7121 7121-7234 7234-7194 7194-7039 7194-6879 6879-6832 6913-6812 7121-7217 7217-7264
Sco|Scorpius|251.9431|-33.6604|5984-5953 5953-5944 5944-5928 5953-6084 6084-6134 6134-6165 6165-6241 6241-6247 6247-6271 6271-6380 6380-6553 6553-6615 6615-6580 6580-6527 6527-6508
Scl|Sculptor|358.8717|-32.3247|280-9016 9016-8863 8863-8937
Sct|Scutum|279.6320|-9.1556|7063-6973 6973-6930 6930-7020 7020-7063
Ser|Serpens|243.9656|+2.0609|5933-5867 5867-5879 5879-5933 5867-5788 5788-5854 5854-5892 5892-5881 6446-6561 6561-6581 6581-6710 6710-6869 6869-7141
Sex|Sextans|153.9030|-3.9914|4042-3909 3909-3981 3981-4119 4119-4116
Tau|Taurus|66.0201|+16.8173|1791-1409 1409-1373 1373-1346 1346-1412 1412-1457 1457-1910 1346-1239 1239-1038 1038-1030
Tel|Telescopium|275.5546|-47.0148|6783-6897 6897-6905
Tri|Triangulum|31.6060|+32.8306|544-622 622-664 664-544
TrA|Triangulum Australe|240.0551|-67.2928|6217-5897 5897-5671 5671-6217
Tuc|Tucana|351.8792|-63.4128|8502-8848 8848-126 126-77 77-9076 9076-8540 8540-8502
UMa|Ursa Major|164.4264|+52.5112|5191-5054 5054-4905 4905-4660 4660-4301 4301-4295 4295-4554 4554-4660 4301-3757 3757-3323 3757-3888 3888-3775 3775-3594 3594-3569 4554-4518 4518-4335 4335-4069 4069-4033 4518-4377 4377-4375
UMi|Ursa Minor|236.4487|+80.0188|424-6789 6789-6322 6322-5903 5903-5563 5563-5735 5735-6116 6116-5903
Vel|Vela|142.4112|-48.9836|3207-3485 3485-3734 3734-3940 3940-4216 4216-4023 4023-3634 3634-3207 3634-3786
Vir|Virgo|200.1052|-1.1250|4932-4910 4910-4825 4825-4689 4689-4540 4540-4517 4825-4963 4963-5056 5056-5107 5107-4910 5107-5264 5264-5511 5056-5315 5315-5338 5338-5487
Vol|Volans|119.9388|-69.0000|3615-3347 3347-3223 3223-2803 2803-2736 2736-3024 3024-3223
Vul|Vulpecula|298.6449|+26.1408|7405-7592 7592-7653 7653-7744
